Sector,Year,Number of industrial robots installed (in thousands)
Unspecified,2020,85
Plastic and chemical products,2020,19
Metal and machinery,2020,41
Food,2020,12
Electrical/electronics,2020,112
Automotive,2020,83
All others,2020,37
Unspecified,2021,102
Plastic and chemical products,2021,25
Metal and machinery,2021,68
Food,2021,15
Electrical/electronics,2021,143
Automotive,2021,117
All others,2021,55
Unspecified,2022,94
Plastic and chemical products,2022,24
Metal and machinery,2022,66
Food,2022,15
Electrical/electronics,2022,157
Automotive,2022,136
All others,2022,61